,Logon_num,Visit_num,Download_num,Connect_num,Delete_num,Disconnect_num,Send_num,Copy_num,Write_num,Upload_num,Open_num,View_num,Logoff_num
2010-04-20,2,161,0,5,1,5,2,0,0,0,2,8,1
2010-04-21,2,162,0,5,0,5,4,0,0,0,0,12,1
2010-04-22,2,162,0,5,0,5,3,0,0,0,5,13,1
2010-04-23,2,162,0,5,1,5,7,2,0,0,3,9,1
2010-04-26,2,162,0,5,0,5,5,0,0,0,0,11,1
2010-04-27,1,138,20,5,0,5,3,1,4,3,2,8,1
2010-04-28,2,162,0,5,0,5,4,0,0,0,0,12,1
2010-04-29,2,162,0,5,0,5,5,0,0,0,0,11,1
2010-04-30,2,136,21,5,0,5,4,0,7,5,5,12,1
2010-05-03,2,161,0,5,0,5,4,0,0,0,1,12,1
2010-05-04,2,162,0,6,0,6,6,1,1,0,3,10,1
2010-05-05,2,159,0,5,0,5,7,2,0,0,11,8,1
2010-05-06,2,157,0,5,0,5,7,0,0,0,9,9,1
2010-05-07,1,132,24,5,0,5,11,1,2,6,5,5,1
2010-05-10,2,161,0,5,1,5,9,2,0,0,10,7,1
2010-05-11,2,161,0,5,0,5,5,0,0,0,3,11,1
2010-05-12,2,162,0,5,0,5,8,0,0,0,3,8,1
2010-05-13,1,132,27,5,1,5,5,0,7,2,3,11,1
2010-05-14,2,162,0,5,0,5,4,0,1,0,1,12,1
2010-05-17,2,161,0,5,1,5,6,0,2,0,6,10,1
2010-05-18,1,162,0,5,1,5,3,1,0,0,3,13,1
2010-05-19,2,162,0,5,0,5,5,0,0,0,1,11,1
2010-05-20,2,131,27,5,0,5,6,0,8,2,1,10,1
2010-05-21,1,162,0,5,0,5,8,0,0,0,2,8,1
2010-05-24,2,157,0,5,1,5,4,2,0,0,1,12,1
2010-05-25,2,162,0,5,0,5,6,0,0,0,1,10,1
2010-05-26,2,162,0,5,0,5,10,0,0,0,7,6,1
2010-05-27,1,131,28,5,0,5,7,1,4,3,2,9,1
2010-05-28,2,161,0,5,0,5,7,0,0,0,5,9,1
2010-06-01,2,139,20,5,0,5,7,0,2,3,2,9,2
2010-06-02,1,162,0,5,3,4,3,0,0,0,1,13,1
2010-06-03,2,137,22,5,0,5,6,1,4,3,2,10,1
2010-06-04,2,130,29,5,0,5,4,0,2,3,1,12,1
2010-06-07,2,133,25,5,0,5,7,0,5,3,3,9,2
2010-06-08,2,160,0,5,0,5,3,0,0,0,0,13,1
2010-06-09,2,162,0,5,0,5,1,2,0,0,2,7,1
2010-06-10,2,133,24,5,0,5,6,2,5,5,10,10,1
2010-06-11,2,162,0,5,0,5,5,0,0,0,2,10,1
2010-06-14,1,137,21,5,0,5,7,1,5,3,6,9,1
2010-06-15,2,161,0,5,1,5,5,0,1,0,5,11,1
2010-06-16,2,161,0,5,1,5,5,0,0,0,5,11,1
2010-06-17,2,161,0,5,0,5,3,0,0,0,1,9,1
2010-06-18,2,162,0,5,0,5,5,1,0,0,8,11,1
2010-06-21,3,134,20,5,1,5,3,1,3,6,5,13,2
2010-06-22,1,162,0,5,2,5,7,0,0,0,13,9,1
2010-06-23,1,132,30,5,0,5,7,0,5,0,5,9,1
2010-06-24,2,162,0,5,1,5,4,1,0,0,3,12,1
2010-06-25,2,162,0,5,0,5,8,0,0,0,13,8,1
2010-06-28,3,137,22,5,0,5,5,0,5,3,5,11,2
2010-06-29,2,162,0,5,0,5,8,1,1,0,4,8,1
2010-06-30,2,162,0,5,0,5,6,0,2,0,3,10,1
2010-07-01,2,161,0,5,2,5,5,2,0,0,0,11,1
2010-07-02,1,136,25,5,0,5,8,0,2,1,4,8,1
2010-07-06,1,162,0,5,0,5,5,3,0,0,0,11,1
2010-07-07,2,161,0,5,0,5,3,0,0,0,0,13,1
2010-07-08,1,161,0,5,0,5,8,0,0,0,4,8,1
2010-07-09,2,159,0,5,0,5,3,0,0,0,0,13,1
2010-07-12,2,162,0,5,0,5,6,0,0,0,7,10,1
2010-07-13,2,162,0,5,0,5,5,0,0,0,6,11,1
2010-07-14,2,161,0,5,0,5,4,1,0,0,7,12,1
2010-07-15,2,162,0,5,0,5,7,1,0,0,6,9,1
2010-07-16,2,162,0,5,0,5,4,0,0,0,0,12,1
2010-07-19,2,159,0,5,0,5,3,0,0,0,0,10,1
2010-07-20,2,162,0,5,1,5,6,0,0,0,0,10,2
2010-07-21,2,161,0,5,0,5,5,0,0,0,1,11,1
2010-07-22,3,137,20,5,1,5,5,2,1,4,4,11,2
2010-07-23,2,161,0,5,0,5,4,1,0,0,0,10,1
2010-07-26,2,162,0,5,0,5,6,0,0,0,2,10,1
2010-07-27,2,160,0,5,0,5,5,0,1,0,1,11,1
2010-07-28,2,162,0,5,0,5,9,0,0,0,3,7,1
2010-07-29,1,135,23,5,0,5,5,0,2,4,2,11,1
2010-07-30,2,159,0,5,2,5,9,0,0,0,9,7,1
2010-08-02,1,161,0,5,0,5,6,0,0,0,1,10,1
2010-08-03,2,162,0,5,0,5,7,0,0,0,6,9,1
2010-08-04,1,129,32,5,0,5,6,0,5,1,0,5,1
2010-08-05,2,162,0,5,0,5,7,0,0,0,12,9,1
2010-08-06,2,162,0,5,0,5,7,0,0,0,2,9,1
2010-08-09,1,162,0,5,1,5,7,0,0,0,14,9,1
2010-08-10,2,162,0,5,0,5,3,0,0,0,8,3,1
2010-08-11,2,162,0,5,0,5,4,1,0,0,3,12,1
2010-08-12,2,131,23,5,0,5,9,0,3,7,12,7,1
2010-08-13,2,162,0,5,1,5,6,1,0,0,5,10,1
2010-08-16,3,137,21,5,1,5,6,0,2,4,4,10,2
2010-08-17,2,159,0,5,0,5,0,3,0,0,0,16,1
2010-08-18,2,131,26,5,0,5,4,0,1,5,5,12,1
2010-08-19,2,122,35,5,0,5,7,0,9,5,2,9,1
2010-08-20,3,161,0,5,0,5,6,0,1,0,2,10,2
2010-08-23,2,134,27,5,1,5,7,1,0,1,4,9,1
2010-08-24,2,162,0,5,1,5,7,1,0,0,1,9,1
2010-08-25,2,162,0,5,1,5,4,1,0,0,1,12,1
2010-08-26,2,161,0,5,0,5,3,1,0,0,1,13,1
2010-08-27,2,160,0,5,1,5,5,0,0,0,2,11,1
2010-08-30,2,162,0,5,1,5,1,2,1,0,0,4,1
2010-08-31,2,162,0,5,0,5,7,1,1,0,9,9,1
2010-09-01,2,160,0,5,0,5,5,0,0,0,1,11,1
2010-09-02,2,162,0,5,0,5,6,0,0,0,4,10,1
2010-09-03,2,162,0,5,0,5,4,0,0,0,0,12,1
2010-09-07,1,134,24,5,0,5,3,0,1,4,6,13,1
2010-09-08,2,162,0,5,1,5,6,1,1,0,6,10,1
2010-09-09,2,162,0,5,0,5,7,0,0,0,2,9,1
2010-09-10,2,162,0,5,1,5,6,2,0,0,5,10,1
2010-09-13,2,162,0,5,0,5,3,0,0,0,1,13,1
2010-09-14,1,133,28,5,1,5,6,0,1,1,2,10,1
2010-09-15,2,138,21,5,1,5,6,2,5,3,2,10,2
2010-09-16,2,161,0,5,0,5,7,0,0,0,8,9,1
2010-09-17,2,162,0,5,2,5,4,1,0,0,1,12,1
2010-09-20,2,162,0,5,1,5,9,0,0,0,3,7,1
2010-09-21,2,130,27,5,2,5,7,1,3,5,4,7,1
2010-09-22,2,162,0,5,0,5,6,0,0,0,2,10,1
2010-09-23,2,162,0,5,0,5,8,0,0,0,5,8,1
2010-09-24,2,162,0,5,0,5,3,0,0,0,0,2,1
2010-09-27,1,138,23,5,0,5,10,1,0,1,8,6,1
2010-09-28,2,162,0,5,0,5,6,0,0,0,4,10,1
2010-09-29,2,143,16,5,0,5,6,2,3,2,4,10,2
2010-09-30,2,126,31,5,0,5,6,0,3,4,3,10,1
2010-10-01,2,162,0,5,0,5,1,0,0,0,1,0,2
2010-10-04,2,162,0,5,0,5,3,0,0,0,0,7,1
2010-10-05,2,128,30,5,0,5,8,1,4,4,6,8,1
2010-10-06,2,160,0,5,0,5,6,0,0,0,15,10,1
2010-10-07,2,162,0,5,0,5,6,0,0,0,6,10,1
2010-10-08,2,162,0,5,2,5,4,1,0,0,2,12,1
2010-10-11,2,159,0,5,0,5,4,0,0,0,2,6,1
2010-10-12,2,159,0,5,0,5,4,2,0,0,1,12,1
2010-10-13,2,162,0,5,0,5,7,0,0,0,3,9,1
2010-10-14,2,128,18,5,0,5,4,0,1,4,3,12,1
2010-10-15,2,162,0,5,0,5,7,2,0,0,1,9,1
2010-10-18,2,131,27,5,0,5,8,2,1,0,2,8,1
2010-10-19,1,125,31,6,1,6,3,0,1,6,6,13,1
2010-10-20,1,139,20,5,0,5,7,0,1,3,1,9,1
2010-10-21,2,161,0,5,0,5,6,1,0,0,2,10,1
2010-10-22,2,162,0,5,0,5,4,0,0,0,5,12,1
2010-10-25,2,162,0,5,2,5,4,1,0,0,2,12,1
2010-10-26,2,161,0,5,2,5,9,1,0,0,13,7,1
2010-10-27,2,133,28,5,0,5,6,2,7,1,2,10,1
2010-10-28,2,134,21,5,0,5,9,1,2,7,4,7,1
2010-10-29,2,162,0,5,1,5,5,0,0,0,3,11,1
2010-11-01,2,161,0,5,0,5,4,0,0,0,5,12,1
2010-11-02,2,142,18,5,1,5,7,0,4,2,4,9,1
2010-11-03,2,160,0,5,1,5,3,0,1,0,1,13,1
2010-11-04,2,161,0,5,3,5,6,0,0,0,2,10,1
2010-11-05,2,130,27,5,1,5,6,1,3,4,6,10,1
2010-11-08,1,128,33,5,0,5,8,0,6,1,3,8,1
2010-11-09,2,161,0,5,0,5,6,0,0,0,3,10,1
2010-11-10,1,125,30,5,0,5,5,0,0,7,3,11,1
2010-11-11,2,162,0,5,2,5,4,1,0,0,2,12,1
2010-11-12,1,161,0,5,2,5,7,0,1,0,0,9,1
2010-11-15,3,136,21,5,0,5,5,0,4,4,4,11,2
2010-11-16,2,135,22,5,0,5,9,0,8,5,8,7,1
2010-11-17,1,130,27,5,0,5,4,1,1,5,5,4,1
2010-11-18,1,162,0,5,0,5,4,0,0,0,0,12,1
2010-11-19,2,162,0,5,0,5,7,0,1,0,5,9,1
2010-11-22,1,134,27,5,0,5,6,2,8,1,6,10,1
2010-11-23,2,136,21,5,0,5,6,0,5,4,3,10,1
2010-11-24,2,162,0,5,1,5,4,0,1,0,2,12,1
2010-11-29,1,162,0,5,0,5,8,0,0,0,2,8,1
2010-11-30,2,161,0,5,1,5,2,2,0,0,1,12,1
2010-12-01,2,161,0,5,0,5,3,1,0,0,2,13,1
2010-12-02,2,161,0,5,0,5,8,3,0,0,3,8,1
2010-12-03,2,162,0,5,2,5,5,0,0,0,1,11,1
2010-12-06,2,131,28,5,0,5,7,0,2,3,3,9,2
2010-12-07,2,162,0,5,0,5,6,0,0,0,1,10,1
2010-12-08,2,162,0,5,3,5,8,1,0,0,3,8,1
2010-12-09,1,132,28,5,1,5,9,0,4,2,6,7,1
2010-12-10,2,162,0,5,0,5,5,2,2,0,1,11,1
2010-12-13,2,134,26,5,0,5,6,1,3,2,2,10,2
2010-12-14,2,128,30,5,0,5,5,0,10,4,3,11,2
2010-12-15,2,162,0,5,0,5,5,0,0,0,7,11,1
2010-12-16,2,158,0,5,1,5,7,1,1,0,12,9,1
2010-12-17,2,162,0,5,0,5,7,0,0,0,4,9,1
2010-12-20,2,138,22,5,3,5,6,0,1,1,1,10,2
2010-12-21,2,161,0,5,1,5,6,0,0,0,5,10,1
2010-12-22,2,162,0,5,1,5,0,0,0,0,1,16,1
2010-12-27,2,162,0,5,2,5,7,0,0,0,0,9,1
2010-12-28,1,130,28,5,0,5,3,0,2,4,2,13,1
2010-12-29,2,162,0,5,0,5,4,0,0,0,5,12,1
2010-12-30,2,160,0,5,0,5,4,0,0,0,3,12,1
2011-01-03,1,131,27,5,0,5,5,0,3,3,4,11,1
2011-01-04,2,161,0,5,0,5,7,1,0,0,2,9,1
2011-01-05,2,162,0,5,0,5,6,0,0,0,7,10,1
2011-01-06,2,161,0,5,2,5,4,1,1,0,0,12,1
2011-01-07,2,126,32,5,0,5,5,1,3,4,2,11,2
2011-01-10,2,162,0,5,1,5,6,1,0,0,3,10,1
2011-01-11,2,161,0,5,1,5,5,1,0,0,1,8,1
2011-01-12,2,161,0,5,2,5,3,2,1,0,0,13,1
2011-01-13,1,159,0,5,0,5,5,0,1,0,3,11,1
2011-01-14,1,161,0,5,0,5,8,0,0,0,3,8,1
2011-01-17,1,162,0,5,1,5,3,0,0,0,2,13,1
2011-01-18,2,162,0,5,0,5,5,0,1,0,1,11,1
2011-01-19,2,162,0,5,0,5,8,0,0,0,6,8,1
2011-01-20,2,162,0,5,0,5,6,4,0,0,6,10,1
2011-01-21,2,161,0,5,2,5,4,0,0,0,2,12,1
2011-01-24,2,162,0,5,0,5,2,1,0,0,0,14,1
2011-01-25,2,139,21,5,1,5,4,3,5,2,2,12,2
2011-01-26,2,160,0,5,1,5,11,2,0,0,8,4,1
2011-01-27,2,160,0,5,0,5,6,0,0,0,9,10,1
2011-01-28,2,162,0,5,0,5,7,0,0,0,2,9,1
2011-01-31,1,135,24,5,1,5,5,0,5,3,4,11,1
2011-02-01,2,161,0,5,0,5,2,0,0,0,1,9,1
